rid,Stand_ID,model climate name,soil,stand_age,distance,species
291,LP_S_LOW_E_2070_L_3,low_8_2070,rhyolite,10,1000,LPS
292,LP_S_LOW_E_2070_L_4,low_8_2070,rhyolite,20,50,LPS
293,LP_S_LOW_E_2070_L_5,low_8_2070,rhyolite,20,500,LPS
294,LP_S_LOW_E_2070_L_6,low_8_2070,rhyolite,20,1000,LPS
295,LP_S_LOW_E_2070_L_7,low_8_2070,rhyolite,50,50,LPS
296,LP_S_LOW_E_2070_L_8,low_8_2070,rhyolite,50,500,LPS
297,LP_S_LOW_E_2070_L_9,low_8_2070,rhyolite,50,1000,LPS
298,LP_S_LOW_E_2070_L_10,low_8_2070,rhyolite,100,50,LPS
299,LP_S_LOW_E_2070_L_11,low_8_2070,rhyolite,100,500,LPS
300,LP_S_LOW_E_2070_L_12,low_8_2070,rhyolite,100,1000,LPS
301,LP_S_LOW_E_2070_L_13,low_8_2070,andesite,10,50,LPS
302,LP_S_LOW_E_2070_L_14,low_8_2070,andesite,10,500,LPS
303,LP_S_LOW_E_2070_L_15,low_8_2070,andesite,10,1000,LPS
304,LP_S_LOW_E_2070_L_16,low_8_2070,andesite,20,50,LPS
305,LP_S_LOW_E_2070_L_17,low_8_2070,andesite,20,500,LPS
306,LP_S_LOW_E_2070_L_18,low_8_2070,andesite,20,1000,LPS
307,LP_S_LOW_E_2070_L_19,low_8_2070,andesite,50,50,LPS
308,LP_S_LOW_E_2070_L_20,low_8_2070,andesite,50,500,LPS
309,LP_S_LOW_E_2070_L_21,low_8_2070,andesite,50,1000,LPS
310,LP_S_LOW_E_2070_L_22,low_8_2070,andesite,100,50,LPS
311,LP_S_LOW_E_2070_L_23,low_8_2070,andesite,100,500,LPS
312,LP_S_LOW_E_2070_L_24,low_8_2070,andesite,100,1000,LPS
313,LP_S_MID_E_2070_L_1,mid_8_2070,rhyolite,10,50,LPS
314,LP_S_MID_E_2070_L_2,mid_8_2070,rhyolite,10,500,LPS
315,LP_S_MID_E_2070_L_3,mid_8_2070,rhyolite,10,1000,LPS
316,LP_S_MID_E_2070_L_4,mid_8_2070,rhyolite,20,50,LPS
317,LP_S_MID_E_2070_L_5,mid_8_2070,rhyolite,20,500,LPS
318,LP_S_MID_E_2070_L_6,mid_8_2070,rhyolite,20,1000,LPS
319,LP_S_MID_E_2070_L_7,mid_8_2070,rhyolite,50,50,LPS
320,LP_S_MID_E_2070_L_8,mid_8_2070,rhyolite,50,500,LPS
321,LP_S_MID_E_2070_L_9,mid_8_2070,rhyolite,50,1000,LPS
322,LP_S_MID_E_2070_L_10,mid_8_2070,rhyolite,100,50,LPS
323,LP_S_MID_E_2070_L_11,mid_8_2070,rhyolite,100,500,LPS
324,LP_S_MID_E_2070_L_12,mid_8_2070,rhyolite,100,1000,LPS
325,LP_S_MID_E_2070_L_13,mid_8_2070,andesite,10,50,LPS
326,LP_S_MID_E_2070_L_14,mid_8_2070,andesite,10,500,LPS
327,LP_S_MID_E_2070_L_15,mid_8_2070,andesite,10,1000,LPS
328,LP_S_MID_E_2070_L_16,mid_8_2070,andesite,20,50,LPS
329,LP_S_MID_E_2070_L_17,mid_8_2070,andesite,20,500,LPS
330,LP_S_MID_E_2070_L_18,mid_8_2070,andesite,20,1000,LPS
331,LP_S_MID_E_2070_L_19,mid_8_2070,andesite,50,50,LPS
332,LP_S_MID_E_2070_L_20,mid_8_2070,andesite,50,500,LPS
333,LP_S_MID_E_2070_L_21,mid_8_2070,andesite,50,1000,LPS
334,LP_S_MID_E_2070_L_22,mid_8_2070,andesite,100,50,LPS
335,LP_S_MID_E_2070_L_23,mid_8_2070,andesite,100,500,LPS
